Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
54.5,151.1,22.7,8.8,4.3,157.9,1,Assam,-1
35.8,141.7,19.0,11.1,6.6,143.4,1,Bhuttan,+1
45.6,149.1,11.8,13.5,3.0,152.6,1,Bhuttan,+1
47.2,142.5,13.2,9.9,5.0,148.1,0,Assam,-1
61.9,153.9,12.3,9.4,5.8,157.2,0,Assam,-1
48.0,154.4,18.7,7.4,4.3,161.7,1,Assam,-1
50.1,150.1,14.2,4.6,7.1,153.8,0,Bhuttan,+1
56.2,144.4,16.7,9.3,4.7,149.3,1,Assam,-1
41.0,132.5,4.5,7.7,5.6,134.4,0,Bhuttan,+1
40.6,137.2,7.4,10.3,3.8,142.7,1,Assam,-1
57.2,155.1,15.3,7.8,6.0,155.0,0,Bhuttan,+1
20.5,131.9,7.3,7.3,7.4,131.8,1,Bhuttan,+1
53.9,152.4,17.8,9.6,5.2,156.3,1,Assam,-1
38.2,144.1,10.1,8.0,5.9,148.7,0,Assam,-1
55.1,144.5,10.3,7.3,5.8,149.3,0,Assam,-1
64.8,161.2,3.8,10.0,5.6,163.8,1,Bhuttan,+1
35.0,149.0,7.1,9.8,4.2,155.1,0,Assam,-1
43.1,156.8,9.8,11.9,7.5,156.7,0,Bhuttan,+1
47.1,137.3,13.1,9.2,4.7,143.8,1,Assam,-1
22.2,143.5,10.8,7.4,3.9,149.3,0,Assam,-1
33.8,143.7,11.2,4.8,5.4,146.6,1,Bhuttan,+1
36.9,134.5,11.6,9.9,6.0,140.0,1,Assam,-1
26.0,129.1,9.2,9.5,6.2,130.3,1,Bhuttan,+1
60.7,162.7,14.0,6.5,3.6,169.2,0,Assam,-1
51.2,141.1,8.8,6.8,4.0,149.1,0,Assam,-1
37.9,160.9,5.3,11.0,7.3,162.4,1,Bhuttan,+1
48.7,142.2,4.0,9.0,5.5,145.7,1,Bhuttan,+1
46.1,145.6,9.0,8.1,4.9,143.2,1,Bhuttan,+1
29.4,143.0,10.6,9.8,4.5,150.6,0,Assam,-1
46.0,149.4,7.6,12.4,5.1,149.4,1,Bhuttan,+1
49.9,144.6,9.7,11.6,6.5,149.3,1,Bhuttan,+1
44.3,142.5,13.9,7.8,6.4,150.0,1,Bhuttan,+1
29.9,141.0,9.0,10.4,6.8,144.7,1,Bhuttan,+1
45.7,146.7,6.7,10.6,4.5,150.3,1,Bhuttan,+1
45.4,142.1,5.2,11.4,5.0,147.9,1,Bhuttan,+1
30.8,133.3,2.1,13.4,5.3,133.2,0,Bhuttan,+1
51.7,146.0,6.8,12.3,5.3,147.8,1,Bhuttan,+1
44.5,142.9,8.9,9.3,5.0,146.4,0,Assam,-1
30.1,139.3,12.7,12.5,5.1,143.1,1,Bhuttan,+1
30.5,144.3,12.8,9.2,6.1,144.6,1,Bhuttan,+1
43.2,154.1,8.2,7.9,4.4,160.5,0,Assam,-1
37.0,154.8,16.1,7.1,6.4,163.5,0,Assam,-1
42.4,138.1,12.8,9.0,6.5,144.5,0,Assam,-1
54.1,148.7,10.6,8.2,6.5,153.0,0,Assam,-1
53.2,145.4,12.0,10.4,5.5,147.8,1,Bhuttan,+1
28.9,153.7,3.6,11.5,5.7,157.0,1,Bhuttan,+1
38.7,138.0,-0.9,11.5,4.9,142.4,0,Bhuttan,+1
41.7,146.2,10.8,6.6,4.4,150.6,0,Assam,-1
41.4,134.6,6.1,8.9,6.6,134.3,1,Bhuttan,+1
35.9,138.1,4.8,8.5,3.1,142.6,1,Assam,-1
47.9,138.5,12.1,9.3,4.0,144.5,0,Assam,-1
43.5,132.1,6.1,11.2,7.6,133.9,0,Bhuttan,+1
51.7,151.8,11.3,10.9,6.8,155.0,1,Bhuttan,+1
55.9,143.3,10.9,7.5,4.2,149.8,0,Assam,-1
43.7,148.4,11.0,7.0,5.3,150.2,1,Bhuttan,+1
56.3,142.5,17.9,9.1,3.9,147.7,1,Assam,-1
53.3,166.6,11.4,9.6,5.6,165.3,1,Bhuttan,+1
47.8,148.8,11.4,7.8,5.7,155.4,0,Assam,-1
51.0,138.1,18.9,7.1,3.7,144.8,1,Assam,-1
46.6,148.6,11.7,9.1,7.2,148.9,1,Bhuttan,+1
36.6,145.7,15.0,7.8,6.7,151.3,1,Assam,-1
28.5,130.5,14.3,5.7,4.1,136.2,1,Assam,-1
35.7,132.8,2.9,11.2,5.6,133.0,0,Bhuttan,+1
48.6,134.8,10.0,11.1,4.6,136.9,0,Bhuttan,+1
45.3,148.1,9.6,12.5,6.0,147.6,1,Bhuttan,+1
51.3,152.8,11.7,11.0,5.3,156.2,0,Assam,-1
38.9,124.5,12.6,7.2,5.0,131.9,0,Assam,-1
37.5,164.4,19.0,9.4,3.8,169.8,1,Assam,-1
72.6,172.6,12.7,6.2,4.1,180.7,0,Assam,-1
39.4,142.5,9.1,8.3,7.3,148.3,0,Assam,-1
55.6,140.0,-5.9,7.0,7.1,142.5,0,Bhuttan,+1
29.0,123.0,3.6,8.6,5.6,124.2,1,Bhuttan,+1
28.8,151.4,11.5,7.8,4.1,158.4,0,Assam,-1
59.3,146.9,5.2,10.0,4.6,152.6,0,Assam,-1
49.9,130.8,11.3,6.4,4.5,136.9,0,Assam,-1
59.9,148.1,13.4,9.6,6.2,154.2,0,Assam,-1
45.9,138.4,-0.0,8.3,6.7,141.5,0,Bhuttan,+1
37.0,127.3,7.6,9.1,7.4,126.1,1,Bhuttan,+1
21.0,136.4,9.8,13.9,6.4,137.1,1,Bhuttan,+1
45.1,143.9,4.9,12.3,5.4,146.5,1,Bhuttan,+1
52.0,140.1,12.0,8.8,4.7,144.9,1,Bhuttan,+1
40.8,154.2,4.2,10.4,5.8,156.4,1,Bhuttan,+1
22.7,131.5,4.1,9.0,6.8,131.2,0,Bhuttan,+1
58.1,144.0,13.7,9.4,6.0,149.5,0,Assam,-1
56.1,138.8,4.9,9.8,5.1,138.0,1,Bhuttan,+1
41.2,135.7,8.2,11.9,5.2,138.3,1,Bhuttan,+1
48.3,144.4,12.0,7.5,5.0,149.0,0,Assam,-1
45.1,167.8,1.2,5.6,5.6,171.5,1,Bhuttan,+1
